euribor3m,y,y
0.634,no,2
0.634,yes,6
0.635,no,21
0.635,yes,22
0.636,no,11
0.636,yes,3
0.637,no,1
0.637,yes,5
0.638,no,2
0.638,yes,5
0.639,no,5
0.639,yes,11
0.64,no,5
0.64,yes,5
0.642,no,18
0.642,yes,17
0.643,no,12
0.643,yes,11
0.644,no,14
0.644,yes,24
0.645,no,15
0.645,yes,11
0.646,no,26
0.646,yes,23
0.649,no,4
0.649,yes,6
0.65,no,8
0.65,yes,4
0.651,no,4
0.651,yes,3
0.652,no,8
0.652,yes,27
0.653,no,6
0.653,yes,13
0.654,no,7
0.654,yes,13
0.655,no,10
0.655,yes,24
0.659,no,5
0.659,yes,10
0.663,no,7
0.663,yes,4
0.668,no,9
0.668,yes,9
0.672,no,9
0.672,yes,7
0.677,no,5
0.677,yes,7
0.682,no,19
0.682,yes,20
0.683,no,3
0.683,yes,11
0.684,no,6
0.684,yes,10
0.685,no,4
0.685,yes,5
0.688,yes,3
0.69,no,1
0.69,yes,2
0.692,no,5
0.692,yes,5
0.695,no,3
0.695,yes,7
0.697,no,4
0.697,yes,19
0.699,no,14
0.699,yes,14
0.7,no,4
0.7,yes,1
0.701,no,8
0.701,yes,3
0.702,no,13
0.702,yes,9
0.704,no,2
0.704,yes,5
0.706,no,7
0.706,yes,11
0.707,no,15
0.707,yes,11
0.708,no,2
0.708,yes,4
0.709,no,4
0.709,yes,4
0.71,no,5
0.71,yes,4
0.711,no,3
0.711,yes,1
0.712,no,6
0.712,yes,4
0.713,no,7
0.713,yes,2
0.714,no,66
0.714,yes,73
0.715,no,50
0.715,yes,85
0.716,no,32
0.716,yes,22
0.717,no,11
0.717,yes,7
0.718,no,13
0.718,yes,5
0.719,no,27
0.719,yes,3
0.72,no,31
0.72,yes,47
0.721,no,2
0.721,yes,4
0.722,no,45
0.722,yes,29
0.723,no,4
0.723,yes,6
0.724,no,18
0.724,yes,5
0.727,no,2
0.727,yes,3
0.728,no,19
0.728,yes,16
0.729,no,5
0.729,yes,8
0.73,no,10
0.73,yes,14
0.731,no,12
0.731,yes,3
0.732,no,4
0.732,yes,2
0.733,no,5
0.733,yes,13
0.735,no,8
0.735,yes,13
0.737,no,12
0.737,yes,13
0.739,no,56
0.739,yes,26
0.74,no,32
0.74,yes,13
0.741,no,22
0.741,yes,5
0.742,no,49
0.742,yes,19
0.743,no,10
0.743,yes,7
0.744,no,12
0.744,yes,5
0.748,no,7
0.748,yes,5
0.749,no,1
0.749,yes,1
0.75,no,5
0.75,yes,2
0.752,no,4
0.752,yes,1
0.753,no,5
0.753,yes,2
0.754,no,27
0.754,yes,17
0.755,no,1
0.755,yes,6
0.761,no,11
0.761,yes,11
0.762,no,1
0.762,yes,3
0.766,no,2
0.766,yes,1
0.767,no,7
0.767,yes,10
0.768,no,9
0.768,yes,4
0.77,no,7
0.77,yes,13
0.771,no,5
0.771,yes,1
0.773,no,12
0.773,yes,10
0.778,no,3
0.778,yes,4
0.781,no,12
0.781,yes,9
0.782,no,8
0.782,yes,3
0.788,no,7
0.788,yes,13
0.79,no,4
0.79,yes,7
0.793,no,6
0.793,yes,3
0.797,no,21
0.797,yes,17
0.802,no,2
0.802,yes,5
0.803,no,22
0.803,yes,9
0.809,no,14
0.809,yes,7
0.81,no,9
0.81,yes,10
0.813,no,3
0.813,yes,3
0.819,no,17
0.819,yes,5
0.821,no,17
0.821,yes,7
0.822,no,7
0.822,yes,4
0.825,no,21
0.825,yes,6
0.827,no,12
0.827,yes,12
0.829,no,6
0.829,yes,7
0.834,no,9
0.834,yes,4
0.835,no,6
0.835,yes,14
0.838,no,19
0.838,yes,10
0.84,no,7
0.84,yes,11
0.843,no,13
0.843,yes,3
0.846,no,7
0.846,yes,14
0.849,no,19
0.849,yes,16
0.851,no,15
0.851,yes,12
0.854,no,19
0.854,yes,11
0.859,no,20
0.859,yes,15
0.861,no,42
0.861,yes,23
0.869,no,32
0.869,yes,22
0.87,no,1
0.87,yes,12
0.873,no,62
0.873,yes,20
0.876,no,15
0.876,yes,16
0.877,no,8
0.877,yes,12
0.878,no,21
0.878,yes,12
0.879,no,96
0.879,yes,84
0.88,no,9
0.88,yes,11
0.881,no,43
0.881,yes,36
0.882,no,18
0.882,yes,7
0.883,no,86
0.883,yes,38
0.884,no,78
0.884,yes,50
0.885,no,1
0.885,yes,9
0.886,no,25
0.886,yes,23
0.888,no,5
0.889,no,11
0.889,yes,6
0.89,no,8
0.891,no,4
0.893,no,7
0.893,yes,6
0.894,no,3
0.895,no,2
0.895,yes,1
0.896,no,16
0.896,yes,21
0.898,no,26
0.898,yes,13
0.899,no,15
0.899,yes,35
0.9,no,7
0.9,yes,20
0.903,no,4
0.903,yes,8
0.904,no,28
0.904,yes,32
0.905,no,5
0.905,yes,12
0.908,no,11
0.908,yes,5
0.914,no,3
0.921,no,1
0.921,yes,1
0.927,no,2
0.933,yes,1
0.937,no,2
0.942,no,7
0.944,no,2
0.944,yes,1
0.953,no,2
0.956,no,1
0.959,no,6
0.959,yes,10
0.965,no,4
0.965,yes,1
0.969,no,1
0.972,no,10
0.972,yes,7
0.977,no,16
0.977,yes,5
0.979,no,3
0.982,no,9
0.982,yes,6
0.985,no,2
0.985,yes,5
0.987,no,13
0.987,yes,6
0.993,no,3
0.993,yes,2
0.996,no,1
1.0,no,10
1.0,yes,8
1.007,no,1
1.007,yes,2
1.008,no,2
1.008,yes,3
1.016,no,6
1.016,yes,3
1.018,no,2
1.018,yes,1
1.025,no,4
1.025,yes,10
1.028,no,6
1.028,yes,3
1.029,no,27
1.029,yes,17
1.03,no,4
1.03,yes,2
1.031,no,3
1.031,yes,5
1.032,no,7
1.032,yes,9
1.035,no,2
1.035,yes,5
1.037,no,2
1.037,yes,4
1.039,no,6
1.039,yes,3
1.04,no,3
1.04,yes,7
1.041,no,5
1.041,yes,4
1.043,no,3
1.043,yes,6
1.044,no,21
1.044,yes,16
1.045,no,1
1.046,no,6
1.046,yes,9
1.047,no,1
1.048,no,17
1.048,yes,5
1.049,no,7
1.049,yes,6
1.05,no,13
1.05,yes,8
1.059,no,13
1.059,yes,10
1.072,no,17
1.072,yes,17
1.085,no,3
1.085,yes,4
1.099,no,8
1.099,yes,3
1.206,no,7
1.206,yes,2
1.215,no,16
1.215,yes,4
1.224,no,5
1.224,yes,2
1.235,no,4
1.235,yes,5
1.244,no,385
1.244,yes,37
1.25,no,527
1.25,yes,60
1.252,no,19
1.252,yes,7
1.259,no,49
1.259,yes,21
1.26,no,150
1.26,yes,102
1.262,no,95
1.262,yes,50
1.264,no,65
1.264,yes,22
1.266,no,716
1.266,yes,104
1.268,no,55
1.268,yes,40
1.27,no,89
1.27,yes,21
1.281,no,574
1.281,yes,63
1.286,no,9
1.286,yes,7
1.291,no,503
1.291,yes,41
1.299,no,495
1.299,yes,25
1.313,no,468
1.313,yes,24
1.327,no,505
1.327,yes,33
1.334,no,450
1.334,yes,32
1.344,no,369
1.344,yes,26
1.354,no,158
1.354,yes,57
1.365,no,167
1.365,yes,136
1.372,no,7
1.372,yes,3
1.384,no,8
1.384,yes,1
1.392,no,15
1.392,yes,6
1.4,no,9
1.4,yes,4
1.405,no,1034
1.405,yes,135
1.406,no,15
1.406,yes,10
1.41,no,227
1.41,yes,27
1.415,no,73
1.415,yes,25
1.423,no,61
1.423,yes,26
1.435,no,65
1.435,yes,16
1.445,no,83
1.445,yes,20
1.453,no,73
1.453,yes,8
1.466,no,49
1.466,yes,8
1.479,no,58
1.479,yes,4
1.483,no,43
1.483,yes,7
1.498,no,29
1.498,yes,6
1.51,no,8
1.51,yes,3
1.52,no,12
1.52,yes,5
1.531,no,15
1.531,yes,14
1.538,no,12
1.538,yes,5
1.548,no,1
1.548,yes,5
1.556,no,7
1.556,yes,5
1.56,no,4
1.56,yes,4
1.574,no,1
1.584,no,1
1.584,yes,2
1.602,no,3
1.602,yes,5
1.614,no,6
1.614,yes,7
1.629,no,9
1.629,yes,1
1.64,no,6
1.64,yes,4
1.65,no,3
1.65,yes,5
1.663,no,10
1.663,yes,10
1.687,no,13
1.687,yes,9
1.703,no,6
1.703,yes,2
1.726,no,2
1.726,yes,9
1.757,no,13
1.757,yes,7
1.778,no,1
1.778,yes,2
1.799,no,4
1.799,yes,10
1.811,no,19
1.811,yes,12
3.053,yes,1
3.282,no,1
3.329,no,1
3.428,no,1
3.488,no,1
3.563,no,2
3.669,no,1
3.743,no,1
3.816,no,1
3.853,no,1
3.879,no,2
3.901,no,1
4.021,no,639
4.021,yes,37
4.076,no,772
4.076,yes,50
4.12,no,713
4.12,yes,43
4.153,no,671
4.153,yes,19
4.191,no,591
4.191,yes,19
4.223,no,1
4.223,yes,3
4.245,no,7
4.245,yes,2
4.286,no,5
4.286,yes,2
4.343,no,3
4.343,yes,2
4.406,no,5
4.406,yes,2
4.474,no,1
4.474,yes,2
4.592,no,2
4.592,yes,2
4.663,no,5
4.663,yes,4
4.7,no,5
4.7,yes,3
4.733,no,2
4.76,no,1
4.76,yes,2
4.794,no,1
4.794,yes,4
4.827,no,2
4.827,yes,3
4.855,no,819
4.855,yes,21
4.856,no,1178
4.856,yes,32
4.857,no,2796
4.857,yes,72
4.858,no,704
4.858,yes,29
4.859,no,758
4.859,yes,30
4.86,no,854
4.86,yes,38
4.864,no,991
4.864,yes,53
4.865,no,358
4.865,yes,15
4.866,no,326
4.866,yes,14
4.912,no,3
4.912,yes,4
4.918,no,2
4.918,yes,2
4.921,no,1
4.921,yes,2
4.936,no,1
4.936,yes,5
4.947,no,94
4.947,yes,4
4.955,no,96
4.955,yes,7
4.956,no,23
4.957,no,484
4.957,yes,53
4.958,no,546
4.958,yes,35
4.959,no,858
4.959,yes,37
4.96,no,956
4.96,yes,57
4.961,no,1812
4.961,yes,90
4.962,no,2469
4.962,yes,144
4.963,no,2361
4.963,yes,126
4.964,no,1120
4.964,yes,55
4.965,no,1007
4.965,yes,64
4.966,no,574
4.966,yes,48
4.967,no,610
4.967,yes,33
4.968,no,935
4.968,yes,57
4.97,no,168
4.97,yes,4
5.0,no,4
5.0,yes,3
5.045,no,4
5.045,yes,5
